Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-12,21:30,La Liga,Matchweek 1,Sat,Away,W,2.0,0.0,Athletic Club,0.9,0.4,54.0,48927.0,Dani Carvajal,4-1-2-1-2◆,Jesús Gil,Match Report,
2023-08-19,19:30,La Liga,Matchweek 2,Sat,Away,W,3.0,1.0,Almería,2.0,1.3,57.0,17561.0,Dani Carvajal,4-3-1-2,José Sánchez,Match Report,
2023-08-25,21:30,La Liga,Matchweek 3,Fri,Away,W,1.0,0.0,Celta Vigo,1.4,1.2,63.0,23057.0,Dani Carvajal,4-1-2-1-2◆,Isidro Díaz de Mera,Match Report,
2023-09-02,16:15,La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,Getafe,2.8,0.4,76.0,66747.0,Luka Modrić,4-3-1-2,Mario Melero,Match Report,
2023-09-17,21:00,La Liga,Matchweek 5,Sun,Home,W,2.0,1.0,Real Sociedad,2.0,1.6,52.0,70092.0,Dani Carvajal,4-1-2-1-2◆,César Soto,Match Report,
2023-09-20,18:45,Champions Lg,Group stage,Wed,Home,W,1.0,0.0,de Union Berlin,3.7,0.2,75.0,65207.0,Nacho,4-3-1-2,Espen Andreas Eskås,Match Report,
2023-09-24,21:00,La Liga,Matchweek 6,Sun,Away,L,1.0,3.0,Atlético Madrid,1.0,1.4,63.0,69082.0,Luka Modrić,4-1-2-1-2◆,Alberola Rojas,Match Report,
2023-09-27,19:00,La Liga,Matchweek 7,Wed,Home,W,2.0,0.0,Las Palmas,1.7,0.7,48.0,65017.0,Nacho,4-3-1-2,José Luis Munuera,Match Report,
2023-09-30,18:30,La Liga,Matchweek 8,Sat,Away,W,3.0,0.0,Girona,2.3,1.6,48.0,14184.0,Nacho,4-3-1-2,Juan Pulido,Match Report,
2023-10-03,21:00,Champions Lg,Group stage,Tue,Away,W,3.0,2.0,it Napoli,1.4,1.9,50.0,51649.0,Nacho,4-3-1-2,Clément Turpin,Match Report,
2023-10-07,16:15,La Liga,Matchweek 9,Sat,Home,W,4.0,0.0,Osasuna,3.2,0.5,67.0,70864.0,Luka Modrić,4-3-1-2,Guillermo Cuadra,Match Report,
2023-10-21,18:30,La Liga,Matchweek 10,Sat,Away,D,1.0,1.0,Sevilla,1.6,1.5,51.0,41212.0,Dani Carvajal,4-1-2-1-2◆,Ricardo de Burgos,Match Report,
2023-10-24,20:00,Champions Lg,Group stage,Tue,Away,W,2.0,1.0,pt Braga,0.9,1.5,52.0,29820.0,Nacho,4-3-1-2,Michael Oliver,Match Report,
2023-10-28,16:15,La Liga,Matchweek 11,Sat,Away,W,2.0,1.0,Barcelona,1.1,1.5,47.0,50112.0,Dani Carvajal,4-1-3-2,Jesús Gil,Match Report,
2023-11-05,21:00,La Liga,Matchweek 12,Sun,Home,D,0.0,0.0,Rayo Vallecano,2.2,0.1,63.0,70220.0,Luka Modrić,4-3-1-2,Juan Martínez,Match Report,
2023-11-08,21:00,Champions Lg,Group stage,Wed,Home,W,3.0,0.0,pt Braga,3.2,1.4,48.0,68509.0,Nacho,4-3-1-2,Halil Umut Meler,Match Report,
2023-11-11,21:00,La Liga,Matchweek 13,Sat,Home,W,5.0,1.0,Valencia,1.7,1.7,57.0,72475.0,Nacho,4-4-2,José Sánchez,Match Report,
2023-11-26,18:30,La Liga,Matchweek 14,Sun,Away,W,3.0,0.0,Cádiz,1.6,1.2,61.0,20325.0,Nacho,4-2-2-2,Guillermo Cuadra,Match Report,
2023-11-29,21:00,Champions Lg,Group stage,Wed,Home,W,4.0,2.0,it Napoli,2.8,1.4,53.0,73562.0,Dani Carvajal,4-2-2-2,François Letexier,Match Report,
2023-12-02,18:30,La Liga,Matchweek 15,Sat,Home,W,2.0,0.0,Granada,1.8,0.1,71.0,70685.0,Dani Carvajal,4-4-2,Pablo González,Match Report,
2023-12-09,16:15,La Liga,Matchweek 16,Sat,Away,D,1.0,1.0,Betis,1.0,1.3,63.0,52756.0,Luka Modrić,4-2-3-1,César Soto,Match Report,
2023-12-12,21:00,Champions Lg,Group stage,Tue,Away,W,3.0,2.0,de Union Berlin,2.9,1.1,74.0,73420.0,Nacho,4-2-2-2,Rade Obrenović,Match Report,
2023-12-17,21:00,La Liga,Matchweek 17,Sun,Home,W,4.0,1.0,Villarreal,2.3,0.8,60.0,70500.0,Luka Modrić,4-4-2,Jorge Figueroa,Match Report,
2023-12-21,21:30,La Liga,Matchweek 18,Thu,Away,W,1.0,0.0,Alavés,0.6,0.6,60.0,19275.0,Nacho,4-3-1-2,Isidro Díaz de Mera,Match Report,
2024-01-03,19:15,La Liga,Matchweek 19,Wed,Home,W,1.0,0.0,Mallorca,1.7,0.6,67.0,72394.0,Luka Modrić,4-2-2-2,Alejandro Muñíz,Match Report,
2024-01-06,21:30,Copa del Rey,Round of 32,Sat,Away,W,3.0,1.0,Arandina,,,78.0,10000.0,Nacho,4-2-3-1,Víctor García,Match Report,
2024-01-10,22:00,Supercopa de España,Semi-finals,Wed,Home,W,5.0,3.0,Atlético Madrid,,,56.0,25000.0,Nacho,4-3-1-2,Alberola Rojas,Match Report,Required Extra Time
2024-01-14,22:00,Supercopa de España,Final,Sun,Home,W,4.0,1.0,Barcelona,,,43.0,23977.0,Nacho,4-3-1-2,Juan Martínez,Match Report,
2024-01-18,21:30,Copa del Rey,Round of 16,Thu,Away,L,2.0,4.0,Atlético Madrid,,,59.0,,Nacho,4-3-1-2,Guillermo Cuadra,Match Report,Required Extra Time
2024-01-21,16:15,La Liga,Matchweek 21,Sun,Home,W,3.0,2.0,Almería,2.2,0.9,73.0,72044.0,Nacho,4-3-1-2,Francisco Hernández,Match Report,
2024-01-27,15:15,La Liga,Matchweek 22,Sat,Away,W,2.0,1.0,Las Palmas,2.3,0.7,47.0,32037.0,Nacho,4-3-1-2,César Soto,Match Report,
2024-02-01,21:00,La Liga,Matchweek 20,Thu,Away,W,2.0,0.0,Getafe,2.0,0.8,58.0,15264.0,Nacho,4-3-1-2,Ricardo de Burgos,Match Report,
2024-02-04,21:00,La Liga,Matchweek 23,Sun,Home,D,1.0,1.0,Atlético Madrid,1.9,1.1,54.0,76732.0,Nacho,4-3-1-2,José Sánchez,Match Report,
2024-02-10,18:30,La Liga,Matchweek 24,Sat,Home,W,4.0,0.0,Girona,3.2,0.3,53.0,76585.0,Dani Carvajal,4-3-1-2,Juan Martínez,Match Report,
2024-02-13,21:00,Champions Lg,Round of 16,Tue,Away,W,1.0,0.0,de RB Leipzig,1.4,1.4,50.0,45028.0,Nacho,4-3-1-2,Irfan Peljto,Match Report,Leg 1 of 2
2024-02-18,14:00,La Liga,Matchweek 25,Sun,Away,D,1.0,1.0,Rayo Vallecano,1.1,1.1,59.0,14354.0,Nacho,4-2-3-1,Alejandro Muñíz,Match Report,
2024-02-25,21:00,La Liga,Matchweek 26,Sun,Home,W,1.0,0.0,Sevilla,0.9,0.8,65.0,74969.0,Nacho,4-3-3,Isidro Díaz de Mera,Match Report,
2024-03-02,21:00,La Liga,Matchweek 27,Sat,Away,,,,Valencia,,,,,,,,Head-to-Head,
2024-03-06,21:00,Champions Lg,Round of 16,Wed,Home,,,,de RB Leipzig,,,,,,,,Head-to-Head,Leg 2 of 2; RB Leipzig 0:1 Real Madrid
2024-03-10,18:30,La Liga,Matchweek 28,Sun,Home,,,,Celta Vigo,,,,,,,,Head-to-Head,
2024-03-16,16:15,La Liga,Matchweek 29,Sat,Away,,,,Osasuna,,,,,,,,Head-to-Head,
2024-03-31,21:00,La Liga,Matchweek 30,Sun,Home,,,,Athletic Club,,,,,,,,Head-to-Head,
2024-04-14,,La Liga,Matchweek 31,Sun,Away,,,,Mallorca,,,,,,,,Head-to-Head,
2024-04-21,,La Liga,Matchweek 32,Sun,Home,,,,Barcelona,,,,,,,,Head-to-Head,
2024-04-28,,La Liga,Matchweek 33,Sun,Away,,,,Real Sociedad,,,,,,,,Head-to-Head,
2024-05-05,,La Liga,Matchweek 34,Sun,Home,,,,Cádiz,,,,,,,,Head-to-Head,
2024-05-12,,La Liga,Matchweek 35,Sun,Away,,,,Granada,,,,,,,,Head-to-Head,
2024-05-15,,La Liga,Matchweek 36,Wed,Home,,,,Alavés,,,,,,,,Head-to-Head,
2024-05-19,,La Liga,Matchweek 37,Sun,Away,,,,Villarreal,,,,,,,,Head-to-Head,
2024-05-26,,La Liga,Matchweek 38,Sun,Home,,,,Betis,,,,,,,,Head-to-Head,
